,Make,Model,Variant,Transmission,Fuel Type,Price_numeric,Distance_numeric,Age,City
0,Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,275000.0,45000,5,Ahmedabad
1,Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,252000.0,33000,6,Ahmedabad
2,Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,227000.0,27850,8,Bangalore
3,Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,272000.0,34433,6,Bangalore
4,Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,234000.0,6500,7,Mohali
5,Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,212000.0,33000,8,Chennai
6,Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,309000.0,24000,4,Chennai
7,Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,211000.0,26000,8,Chennai
8,Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,267000.0,85000,5,Chennai
9,Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,217000.0,89222,7,Chennai
10,Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,283000.0,25000,5,Chennai
11,Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,281000.0,24000,5,Chennai
12,Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,224000.0,42000,8,Delhi
13,Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,295000.0,52000,4,Hyderabad
14,Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,313000.0,11000,4,Hyderabad
15,Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,314000.0,3600,4,Kolkata
16,Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,287000.0,4000,5,Kolkata
17,Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,306000.0,20000,4,Kolkata
