,Make,Model,Variant,City,Price_numeric,Distance_numeric,Transmission,Fuel Type,Age
0,Maruti Suzuki,Swift,VXi,Delhi,650000.0,38566,Manual,Petrol,3
1,Hyundai,Alcazar,Prestige (O) 7 STR 1.5 Diesel AT,Bangalore,1600000.0,48702,Automatic (TC),Diesel,3
2,Honda,WR-V,VX MT Petrol,Bangalore,721000.0,49738,Manual,Petrol,6
3,Mahindra,XUV700,AX 5 Diesel MT 7 STR,Pune,1825000.0,31449,Manual,Diesel,3
4,Hyundai,Xcent,E,Kolkata,575000.0,32441,Manual,Petrol,7
5,Hyundai,Grand i10,Magna AT 1.2 Kappa VTVT,Kolkata,490000.0,30689,Automatic,Petrol,7
6,Honda,Brio,S MT,Kolkata,425000.0,34844,Manual,Petrol,9
7,Hyundai,i10,Magna 1.2,Chennai,375000.0,66893,Manual,Petrol,9
8,Mahindra,TUV300,T10,Kolkata,760000.0,80468,Manual,Diesel,8
9,MG,Gloster,Savvy 7 STR 2.0 Twin Turbo 4WD,Delhi,3651000.0,25000,Automatic (TC),Diesel,2
10,Kia,Seltos,GTX Plus 1.5 Diesel AT,Delhi,1790000.0,36000,Automatic (TC),Diesel,3
11,Hyundai,Alcazar,Prestige (O) 7 STR 1.5 Diesel AT,Kolkata,1790000.0,21500,Automatic (TC),Diesel,3
12,Hyundai,Alcazar,Signature (O) 6 STR 1.5 Diesel AT,Pune,1890000.0,33600,Automatic (TC),Diesel,3
13,BYD,e6,GL,Kolkata,2600000.0,36700,Automatic,Electric,3
14,MG,Gloster,Savvy 6 STR 2.0 Twin Turbo 4WD,Gurgaon,2351000.0,49110,Automatic (TC),Diesel,4
15,Land Rover,Range Rover,SE 3.0 Diesel,Kolkata,7800000.0,57000,Automatic (TC),Diesel,7
16,Maruti Suzuki,Grand Vitara,Zeta Plus Intelligent Hybrid eCVT,Hyderabad,1775000.0,16500,Automatic (e-CVT),Hybrid (Electric + Petrol),3
17,Skoda,Superb,L&K,Mumbai,2100000.0,50000,Automatic (DCT),Petrol,7
18,Volvo,XC90,B6 Ultimate,Delhi,8500000.0,10000,Automatic,Mild Hybrid(Electric + Petrol),2
19,Mercedes-Benz,C-Class,C 220d,Chennai,3650000.0,50500,Automatic (TC),Diesel,5
20,Porsche,Cayenne,Base,Faridabad,9500000.0,20000,Automatic (TC),Petrol,6
21,Kia,Seltos,HTK Plus 1.5 Diesel AT,Pune,1200000.0,66667,Automatic (TC),Diesel,6
22,BMW,X5,xDrive30d xLine,Pune,8500000.0,58133,Automatic (TC),Diesel,3
23,BMW,X5,xDrive30d xLine,Mumbai,8500000.0,59285,Automatic (TC),Diesel,3
24,Mercedes-Benz,EQE SUV,500 4MATIC,Kolkata,9500000.0,1528,Automatic,Electric,1
25,Audi,Q5,Technology 45 TFSI,Chennai,5550000.0,17290,Automatic (DCT),Petrol,2
26,BMW,X7,xDrive40i M Sport,Pune,9500000.0,49359,Automatic (TC),Mild Hybrid(Electric + Petrol),2
27,Hyundai,Elite i20,Sportz 1.2,Ahmedabad,500000.0,70135,Manual,Petrol,10
28,Audi,A3,35 TDI Premium Plus,Vadodara,2150000.0,84200,Automatic,Diesel,7
29,Audi,Q5,Premium Plus 45 TFSI,Bangalore,4450000.0,44853,Automatic (DCT),Petrol,3
30,Audi,A4,Premium Plus 40 TFSI,Bangalore,3150000.0,48307,Automatic (DCT),Petrol,3
31,Audi,Q3,40 TFSI Technology,Pune,4950000.0,10217,Automatic (DCT),Petrol,1
32,Mercedes-Benz,EQE SUV,500 4MATIC,Delhi,9500000.0,9800,Automatic,Electric,2
33,Land Rover,Range Rover,First Edition 3.0 Diesel [2022],Delhi,23500000.0,210,Automatic (TC),Diesel,2
34,Mercedes-Benz,E-Class,E 220d Expression,Chennai,3850000.0,49999,Automatic (TC),Diesel,6
35,Toyota,Hilux,High 4X4 AT,Faridabad,2700000.0,19353,Automatic (TC),Diesel,2
36,Audi,A3,35 TDI Premium + Sunroof,Ahmedabad,1350000.0,74515,Automatic,Diesel,10
37,Hyundai,Elite i20,Asta 1.2 (O),Delhi,800000.0,20356,Manual,Petrol,6
38,Hyundai,Grand i10,Magna AT 1.2 Kappa VTVT,Chennai,441000.0,47836,Automatic,Petrol,8
39,Hyundai,i10,Era,Gurgaon,265000.0,71678,Manual,Petrol,10
40,Hyundai,i10,Magna 1.2,Chennai,331000.0,65313,Manual,Petrol,10
41,Skoda,Kodiaq,Style,Gurgaon,1900000.0,48749,Automatic (DCT),Petrol,7
42,Mercedes-Benz,EQS,580 4MATIC,Bangalore,12100000.0,2850,Automatic,Electric,3
43,Audi,A6,Technology 45 TFSI,Bangalore,5600000.0,6200,Automatic (DCT),Petrol,1
