Make,Model,Variant,Transmission,Fuel Type,Price_numeric,Distance_numeric,Age,City
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,275000,45000,5,Ahmedabad
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,252000,33000,6,Ahmedabad
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,227000,27850,8,Bangalore
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,272000,34433,6,Bangalore
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,234000,6500,7,Mohali
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,212000,33000,8,Chennai
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,309000,24000,4,Chennai
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,211000,26000,8,Chennai
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,267000,85000,5,Chennai
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,217000,89222,7,Chennai
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,283000,25000,5,Chennai
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,281000,24000,5,Chennai
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,224000,42000,8,Delhi
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,295000,52000,4,Hyderabad
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,313000,11000,4,Hyderabad
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,314000,3600,4,Kolkata
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,287000,4000,5,Kolkata
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,306000,20000,4,Kolkata
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,268000,57136,5,Kharagpur
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,181000,64285,10,Mumbai
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,227000,45713,7,Thane
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,277000,47400,5,Thane
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,179000,72000,10,Mumbai
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,296000,50500,4,Pune
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,443000,43731,5,Delhi
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,246000,6500,7,Mohali
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,246000,40000,7,Kolkata
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,296000,4000,5,Kolkata
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,292000,37000,5,Kolkata
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,434000,20000,4,Kolkata
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,298000,39000,5,Kolkata
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,432000,58000,4,Kharagpur
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,456000,66421,3,Mumbai
Maruti Suzuki,Eeco,5 STR[2010-2022],Manual,Petrol,430000,50500,4,Pune
